Season_Year,Average,Season,Year
Summer-1828,7.795,Summer,1828
Summer-1829,7.424,Summer,1829
Summer-1832,1.268,Summer,1832
Summer-1833,6.642,Summer,1833
Summer-1834,5.987,Summer,1834
Summer-1835,4.465,Summer,1835
Summer-1836,6.179,Summer,1836
Summer-1837,5.817,Summer,1837
Summer-1838,6.059,Summer,1838
Summer-1839,6.832,Summer,1839
Summer-1840,5.965,Summer,1840
Summer-1841,5.996,Summer,1841
Summer-1842,5.812,Summer,1842
Summer-1843,5.498,Summer,1843
Summer-1844,5.800,Summer,1844
Summer-1845,6.005,Summer,1845
Summer-1846,3.042,Summer,1846
Summer-1847,7.125,Summer,1847
Summer-1848,5.997,Summer,1848
Summer-1849,5.916,Summer,1849
Summer-1850,6.290,Summer,1850
Summer-1851,7.220,Summer,1851
Summer-1852,6.884,Summer,1852
Summer-1853,6.460,Summer,1853
Summer-1854,6.187,Summer,1854
Summer-1855,6.600,Summer,1855
Summer-1856,6.277,Summer,1856
Summer-1857,6.870,Summer,1857
Summer-1858,5.965,Summer,1858
Summer-1859,5.876,Summer,1859
Summer-1860,6.660,Summer,1860
Summer-1861,6.442,Summer,1861
Summer-1862,5.869,Summer,1862
Summer-1863,6.797,Summer,1863
Summer-1864,7.043,Summer,1864
Summer-1865,6.622,Summer,1865
Summer-1866,6.277,Summer,1866
Summer-1867,6.348,Summer,1867
Summer-1868,7.173,Summer,1868
Summer-1869,7.470,Summer,1869
Summer-1870,7.417,Summer,1870
Summer-1871,7.058,Summer,1871
Summer-1872,6.775,Summer,1872
Summer-1873,7.027,Summer,1873
Summer-1874,7.505,Summer,1874
Summer-1875,6.949,Summer,1875
Summer-1876,6.531,Summer,1876
Summer-1877,7.115,Summer,1877
Summer-1878,6.978,Summer,1878
Summer-1879,6.391,Summer,1879
Summer-1880,6.396,Summer,1880
Summer-1881,6.247,Summer,1881
Summer-1882,6.661,Summer,1882
Summer-1883,6.903,Summer,1883
Summer-1884,6.462,Summer,1884
Summer-1885,7.534,Summer,1885
Summer-1886,7.036,Summer,1886
Summer-1887,5.937,Summer,1887
Summer-1888,6.954,Summer,1888
Summer-1889,7.126,Summer,1889
Summer-1890,5.978,Summer,1890
Summer-1891,6.925,Summer,1891
Summer-1892,6.650,Summer,1892
Summer-1893,6.038,Summer,1893
Summer-1894,6.301,Summer,1894
Summer-1895,6.226,Summer,1895
Summer-1896,6.291,Summer,1896
Summer-1897,6.933,Summer,1897
Summer-1898,7.170,Summer,1898
Summer-1899,5.667,Summer,1899
Summer-1900,6.496,Summer,1900
Summer-1901,6.369,Summer,1901
Summer-1902,6.316,Summer,1902
Summer-1903,6.114,Summer,1903
Summer-1904,6.678,Summer,1904
Summer-1905,6.841,Summer,1905
Summer-1906,7.436,Summer,1906
Summer-1907,6.640,Summer,1907
Summer-1908,6.223,Summer,1908
Summer-1909,6.064,Summer,1909
Summer-1910,6.349,Summer,1910
Summer-1911,6.150,Summer,1911
Summer-1912,6.757,Summer,1912
Summer-1913,6.113,Summer,1913
Summer-1914,6.816,Summer,1914
Summer-1915,7.640,Summer,1915
Summer-1916,6.548,Summer,1916
Summer-1917,6.255,Summer,1917
Summer-1918,6.756,Summer,1918
Summer-1919,6.232,Summer,1919
Summer-1920,5.755,Summer,1920
Summer-1921,6.694,Summer,1921
Summer-1922,6.922,Summer,1922
Summer-1923,7.712,Summer,1923
Summer-1924,6.960,Summer,1924
Summer-1925,7.201,Summer,1925
Summer-1926,7.222,Summer,1926
Summer-1927,6.892,Summer,1927
Summer-1928,7.042,Summer,1928
Summer-1929,6.985,Summer,1929
Summer-1930,6.868,Summer,1930
Summer-1931,7.178,Summer,1931
Summer-1932,6.894,Summer,1932
Summer-1933,6.030,Summer,1933
Summer-1934,7.387,Summer,1934
Summer-1935,6.239,Summer,1935
Summer-1936,7.563,Summer,1936
Summer-1937,7.238,Summer,1937
Summer-1938,7.832,Summer,1938
Summer-1939,6.713,Summer,1939
Summer-1940,7.902,Summer,1940
Summer-1941,7.765,Summer,1941
Summer-1942,7.870,Summer,1942
Summer-1943,6.936,Summer,1943
Summer-1944,7.723,Summer,1944
Summer-1945,6.590,Summer,1945
Summer-1946,7.035,Summer,1946
Summer-1947,6.983,Summer,1947
Summer-1948,6.776,Summer,1948
Summer-1949,6.811,Summer,1949
Summer-1950,6.568,Summer,1950
Summer-1951,6.721,Summer,1951
Summer-1952,7.259,Summer,1952
Summer-1953,7.165,Summer,1953
Summer-1954,5.896,Summer,1954
Summer-1955,6.031,Summer,1955
Summer-1956,6.694,Summer,1956
Summer-1957,7.188,Summer,1957
Summer-1958,8.332,Summer,1958
Summer-1959,6.382,Summer,1959
Summer-1960,7.091,Summer,1960
Summer-1961,7.374,Summer,1961
Summer-1962,6.926,Summer,1962
Summer-1963,7.632,Summer,1963
Summer-1964,6.409,Summer,1964
Summer-1965,7.145,Summer,1965
Summer-1966,6.598,Summer,1966
Summer-1967,7.595,Summer,1967
Summer-1968,6.507,Summer,1968
Summer-1969,7.263,Summer,1969
Summer-1970,6.760,Summer,1970
Summer-1971,7.016,Summer,1971
Summer-1972,6.139,Summer,1972
Summer-1973,6.647,Summer,1973
Summer-1974,6.829,Summer,1974
Summer-1975,6.765,Summer,1975
Summer-1976,6.789,Summer,1976
Summer-1977,7.334,Summer,1977
Summer-1978,7.509,Summer,1978
Summer-1979,7.624,Summer,1979
Summer-1980,7.648,Summer,1980
Summer-1981,7.296,Summer,1981
Summer-1982,7.064,Summer,1982
Summer-1983,7.196,Summer,1983
Summer-1984,6.273,Summer,1984
Summer-1985,6.676,Summer,1985
Summer-1986,7.020,Summer,1986
Summer-1987,7.834,Summer,1987
Summer-1988,7.359,Summer,1988
Summer-1989,8.031,Summer,1989
Summer-1990,7.881,Summer,1990
Summer-1991,7.433,Summer,1991
