,dt,AverageTemperature,AverageTemperatureUncertainty,State,Country
63272,1828-01-01,-15.524,3.0580000000000003,British Columbia,Canada
63273,1828-02-01,-10.472,2.647,British Columbia,Canada
63274,1828-03-01,-4.559,2.4330000000000003,British Columbia,Canada
63276,1828-05-01,6.847,3.095,British Columbia,Canada
63277,1828-06-01,11.624,2.715,British Columbia,Canada
63278,1828-07-01,13.763000000000002,3.0269999999999997,British Columbia,Canada
63279,1828-08-01,10.383,3.043,British Columbia,Canada
63280,1828-09-01,4.401999999999999,2.576,British Columbia,Canada
63281,1828-10-01,-0.25,2.6430000000000002,British Columbia,Canada
63282,1828-11-01,-7.223000000000001,3.326,British Columbia,Canada
63283,1828-12-01,-13.852,4.974,British Columbia,Canada
63284,1829-01-01,-13.683,2.9530000000000003,British Columbia,Canada
63285,1829-02-01,-10.057,3.708,British Columbia,Canada
63286,1829-03-01,-4.129,2.8569999999999998,British Columbia,Canada
63287,1829-04-01,-0.1479999999999999,2.562,British Columbia,Canada
63288,1829-05-01,7.843,3.9219999999999997,British Columbia,Canada
63289,1829-06-01,11.026,3.1839999999999997,British Columbia,Canada
63290,1829-07-01,13.357000000000001,2.985,British Columbia,Canada
63291,1829-08-01,11.817,2.84,British Columbia,Canada
63293,1829-10-01,0.6509999999999999,2.528,British Columbia,Canada
63294,1829-11-01,-8.814,3.4739999999999998,British Columbia,Canada
63295,1829-12-01,-15.647,5.152,British Columbia,Canada
63320,1832-01-01,-12.587,2.307,British Columbia,Canada
63321,1832-02-01,-12.805,3.403,British Columbia,Canada
63322,1832-03-01,-5.8409999999999975,2.1790000000000003,British Columbia,Canada
63323,1832-04-01,-1.125,3.517,British Columbia,Canada
63324,1832-05-01,5.382999999999999,2.434,British Columbia,Canada
63329,1832-10-01,-0.4530000000000003,2.7910000000000004,British Columbia,Canada
63330,1832-11-01,-6.125,3.2239999999999998,British Columbia,Canada
63331,1832-12-01,-11.965,4.331,British Columbia,Canada
63332,1833-01-01,-11.868,3.049,British Columbia,Canada
63333,1833-02-01,-10.844,2.51,British Columbia,Canada
63334,1833-03-01,-4.747999999999998,3.61,British Columbia,Canada
63335,1833-04-01,0.1120000000000001,2.6439999999999997,British Columbia,Canada
63336,1833-05-01,5.038,2.563,British Columbia,Canada
63337,1833-06-01,9.996,2.661,British Columbia,Canada
63338,1833-07-01,12.031,2.445,British Columbia,Canada
63339,1833-08-01,11.7,2.94,British Columbia,Canada
63340,1833-09-01,7.317,2.826,British Columbia,Canada
63341,1833-10-01,0.29899999999999993,2.946,British Columbia,Canada
63342,1833-11-01,-4.699,2.403,British Columbia,Canada
63343,1833-12-01,-11.888,3.0589999999999997,British Columbia,Canada
63344,1834-01-01,-15.454,3.137,British Columbia,Canada
63345,1834-02-01,-10.690999999999999,2.7880000000000003,British Columbia,Canada
63346,1834-03-01,-5.1610000000000005,2.8510000000000004,British Columbia,Canada
63347,1834-04-01,-0.15200000000000002,2.532,British Columbia,Canada
63348,1834-05-01,5.011,2.7430000000000003,British Columbia,Canada
63349,1834-06-01,9.345,3.135,British Columbia,Canada
63350,1834-07-01,11.28,2.903,British Columbia,Canada
63351,1834-08-01,10.013000000000002,2.9739999999999998,British Columbia,Canada
