year,n,AverageTemperatureUncertainty,State,Country,name
1828,-15.524,3.058,British Columbia,Canada,Winter
1828,.472,2.647,British Columbia,Canada,Winter
1828,-4.559,2.433,British Columbia,Canada,Winter
1828,6.847,3.095,British Columbia,Canada,Summer
1828,11.624,2.715,British Columbia,Canada,Summer
1828,13.763,3.027,British Columbia,Canada,Summer
1828,10.383,3.043,British Columbia,Canada,Summer
1828,4.402,2.576,British Columbia,Canada,Summer
1828,-0.250,2.643,British Columbia,Canada,Winter
1828,-7.223,3.326,British Columbia,Canada,Winter
1828,-13.852,4.974,British Columbia,Canada,Winter
1829,-13.683,2.953,British Columbia,Canada,Winter
1829,.057,3.708,British Columbia,Canada,Winter
1829,-4.129,2.857,British Columbia,Canada,Winter
1829,-0.148,2.562,British Columbia,Canada,Summer
1829,7.843,3.922,British Columbia,Canada,Summer
1829,11.026,3.184,British Columbia,Canada,Summer
1829,13.357,2.985,British Columbia,Canada,Summer
1829,11.817,2.840,British Columbia,Canada,Summer
1829,0.651,2.528,British Columbia,Canada,Winter
1829,-8.814,3.474,British Columbia,Canada,Winter
1829,-15.647,5.152,British Columbia,Canada,Winter
1832,.587,2.307,British Columbia,Canada,Winter
1832,.805,3.403,British Columbia,Canada,Winter
1832,-5.841,2.179,British Columbia,Canada,Winter
1832,-1.125,3.517,British Columbia,Canada,Summer
1832,5.383,2.434,British Columbia,Canada,Summer
1832,-0.453,2.791,British Columbia,Canada,Winter
1832,-6.125,3.224,British Columbia,Canada,Winter
1832,.965,4.331,British Columbia,Canada,Winter
1833,.868,3.049,British Columbia,Canada,Winter
1833,.844,2.510,British Columbia,Canada,Winter
1833,-4.748,3.610,British Columbia,Canada,Winter
1833,0.112,2.644,British Columbia,Canada,Summer
1833,5.038,2.563,British Columbia,Canada,Summer
1833,9.996,2.661,British Columbia,Canada,Summer
1833,12.031,2.445,British Columbia,Canada,Summer
1833,11.700,2.940,British Columbia,Canada,Summer
1833,7.317,2.826,British Columbia,Canada,Summer
1833,0.299,2.946,British Columbia,Canada,Winter
1833,-4.699,2.403,British Columbia,Canada,Winter
1833,.888,3.059,British Columbia,Canada,Winter
1834,-15.454,3.137,British Columbia,Canada,Winter
1834,.691,2.788,British Columbia,Canada,Winter
1834,-5.161,2.851,British Columbia,Canada,Winter
1834,-0.152,2.532,British Columbia,Canada,Summer
1834,5.011,2.743,British Columbia,Canada,Summer
1834,9.345,3.135,British Columbia,Canada,Summer
1834,11.280,2.903,British Columbia,Canada,Summer
1834,10.013,2.974,British Columbia,Canada,Summer
1834,6.008,3.228,British Columbia,Canada,Summer
1834,0.406,2.412,British Columbia,Canada,Winter
1834,-4.921,2.738,British Columbia,Canada,Winter
1834,.944,2.566,British Columbia,Canada,Winter
1835,.655,2.648,British Columbia,Canada,Winter
1835,.539,2.894,British Columbia,Canada,Winter
1835,-5.489,2.840,British Columbia,Canada,Winter
1835,-0.398,2.809,British Columbia,Canada,Summer
1835,4.463,2.446,British Columbia,Canada,Summer
1835,8.659,2.714,British Columbia,Canada,Summer
1835,10.354,2.820,British Columbia,Canada,Summer
1835,5.526,2.738,British Columbia,Canada,Summer
1835,-1.811,2.820,British Columbia,Canada,Winter
1835,-7.762,2.438,British Columbia,Canada,Winter
1835,-14.334,3.087,British Columbia,Canada,Winter
1836,-14.764,3.438,British Columbia,Canada,Winter
1836,.136,2.545,British Columbia,Canada,Winter
1836,-5.013,2.505,British Columbia,Canada,Winter
1836,-0.636,2.362,British Columbia,Canada,Summer
1836,5.792,2.842,British Columbia,Canada,Summer
1836,9.649,2.518,British Columbia,Canada,Summer
1836,11.281,2.604,British Columbia,Canada,Summer
1836,10.594,2.633,British Columbia,Canada,Summer
1836,5.931,2.782,British Columbia,Canada,Summer
1836,0.639,4.623,British Columbia,Canada,Winter
1836,-6.683,2.803,British Columbia,Canada,Winter
