date,value
1970-01-01,-14.312999999999999
1970-02-01,-5.636
1970-03-01,-3.378
1970-04-01,0.478
1970-05-01,5.626
1970-06-01,11.034
1970-07-01,11.821000000000002
1970-08-01,11.422
1970-09-01,5.9289999999999985
1970-10-01,1.007
1970-11-01,-8.133000000000001
1970-12-01,-14.112
1971-01-01,-15.751
1971-02-01,-8.465
1971-03-01,-6.651999999999999
1971-04-01,0.8410000000000001
1971-05-01,6.143
1971-06-01,9.621
1971-07-01,13.32
1971-08-01,12.728000000000002
1971-09-01,6.097
1971-10-01,0.359
1971-11-01,-5.791
1971-12-01,-16.049
1972-01-01,-18.191
1972-02-01,-13.296
1972-03-01,-4.995
1972-04-01,-2.0760000000000005
1972-05-01,6.537000000000001
1972-06-01,9.493
1972-07-01,11.784
1972-08-01,12.219000000000001
1972-09-01,4.91
1972-10-01,0.1080000000000001
1972-11-01,-4.714
1972-12-01,-13.965
1973-01-01,-13.023
1973-02-01,-9.613999999999999
1973-03-01,-3.568
1973-04-01,1.129
1973-05-01,6.45
1973-06-01,8.933
1973-07-01,11.723
1973-08-01,10.434000000000001
1973-09-01,7.279
1973-10-01,0.5779999999999998
1973-11-01,-11.886
1973-12-01,-10.32
1974-01-01,-16.467
1974-02-01,-8.34
1974-03-01,-7.093
1974-04-01,1.181
1974-05-01,4.495
1974-06-01,9.339
1974-07-01,10.653
1974-08-01,11.871
1974-09-01,8.087
1974-10-01,2.1790000000000003
1974-11-01,-4.5550000000000015
1974-12-01,-7.175
1975-01-01,-13.06
1975-02-01,-13.511
1975-03-01,-6.699
1975-04-01,-0.10099999999999988
1975-05-01,5.676
1975-06-01,9.166
1975-07-01,13.384
1975-08-01,9.948
1975-09-01,8.225999999999999
1975-10-01,1.057
1975-11-01,-7.751
1975-12-01,-11.212
1976-01-01,-10.329999999999998
1976-02-01,-10.009
1976-03-01,-6.114
1976-04-01,1.521
1976-05-01,5.747999999999998
1976-06-01,8.392999999999999
1976-07-01,11.028
1976-08-01,10.98
1976-09-01,8.366
1976-10-01,1.486
1976-11-01,-3.3260000000000005
1976-12-01,-8.423
1977-01-01,-9.943999999999999
1977-02-01,-3.411
1977-03-01,-4.129
1977-04-01,2.6910000000000003
1977-05-01,5.89
1977-06-01,10.262
1977-07-01,11.48
1977-08-01,12.903
1977-09-01,6.638
1977-10-01,1.4769999999999999
1977-11-01,-8.082
1977-12-01,-16.258
1978-01-01,-13.716
1978-02-01,-8.003
1978-03-01,-4.17
1978-04-01,1.455
1978-05-01,5.526
1978-06-01,11.329
1978-07-01,13.214
1978-08-01,11.41
1978-09-01,6.82
1978-10-01,2.806
1978-11-01,-7.6720000000000015
1978-12-01,-12.467
1979-01-01,-17.215
1979-02-01,-15.254
1979-03-01,-3.135
1979-04-01,0.388
1979-05-01,5.5070000000000014
1979-06-01,9.531
1979-07-01,13.271
1979-08-01,13.082
1979-09-01,8.616
1979-10-01,2.975
1979-11-01,-4.671
1979-12-01,-8.879
1980-01-01,-15.619000000000002
1980-02-01,-7.39
1980-03-01,-4.996
1980-04-01,3.067
1980-05-01,7.34
1980-06-01,10.851
1980-07-01,11.944
1980-08-01,10.35
1980-09-01,6.843
1980-10-01,3.143
1980-11-01,-2.6450000000000005
1980-12-01,-13.407
1981-01-01,-5.532
1981-02-01,-7.170999999999999
1981-03-01,-1.581
1981-04-01,-0.17999999999999994
1981-05-01,7.4620000000000015
1981-06-01,8.47
1981-07-01,12.859000000000002
1981-08-01,13.456
1981-09-01,7.716
1981-10-01,1.29
1981-11-01,-3.3580000000000005
1981-12-01,-12.064
1982-01-01,-18.605
1982-02-01,-12.09
