date,study_site,longitude,latitude
1988-03-05,Hart Ranges,-121.39594895053158,53.45872722601499
1988-03-15,Hart Ranges,-121.2498180134593,53.42273427710932
1988-03-16,Hart Ranges,-121.4192689574628,53.56106662549567
1988-03-17,Hart Ranges,-121.84700846993533,54.400091791682776
1988-03-18,Hart Ranges,-121.54410543431065,54.28682116691367
1988-03-19,Hart Ranges,-122.06691328314255,53.58967671512305
1988-03-21,Hart Ranges,-122.32375255946256,53.5538739808901
1988-03-22,Hart Ranges,-121.29456886554405,54.147085931017386
1988-03-23,Hart Ranges,-121.60962314960594,53.693253750508454
1988-03-30,Hart Ranges,-121.57718346890496,53.56444290524849
1988-03-31,Hart Ranges,-121.30586264856996,54.17076262823705
1988-05-14,Hart Ranges,-121.5743478311017,53.53111218070424
1988-05-30,Hart Ranges,-121.43273036031341,54.29267290326013
1988-06-14,Hart Ranges,-121.4305081337235,53.93531064115848
1988-06-28,Hart Ranges,-121.82007369860726,53.40831628125412
1988-07-07,Hart Ranges,-121.27234977693898,53.98250740302163
1988-07-19,Hart Ranges,-121.44214881727322,53.847487719899185
1988-08-22,Hart Ranges,-121.43741111406536,53.96747049303759
1988-09-13,Hart Ranges,-121.42710567690267,53.87058839817293
1988-10-04,Hart Ranges,-121.38158881998808,53.88205765792711
1988-10-18,Hart Ranges,-121.44858537107635,53.889472787748964
1988-11-26,Hart Ranges,-121.60299600124134,53.7569627465882
1988-12-06,Hart Ranges,-121.5524028758416,53.866539688913925
1989-01-07,Hart Ranges,-121.55943502529239,53.87836538330123
1989-02-06,Hart Ranges,-121.51248932845958,53.899703210162656
1989-03-02,Hart Ranges,-121.51256100064303,53.87795042107976
1989-04-10,Hart Ranges,-121.52739095941996,53.86404508361457
1989-05-04,Hart Ranges,-121.51228341065767,53.874876078655895
1989-05-31,Hart Ranges,-121.5204895243385,53.883381987993054
1989-06-24,Hart Ranges,-121.50367870603019,53.873751260505166
1989-07-30,Hart Ranges,-121.49797931467917,53.9210953955432
1989-08-25,Hart Ranges,-121.4470783654733,53.87402392567668
1989-09-22,Hart Ranges,-121.49002448952064,53.866951571465506
1989-10-27,Hart Ranges,-121.41668865697925,53.94565022058519
1989-11-22,Hart Ranges,-121.58018003168925,53.86190489934332
1989-12-28,Hart Ranges,-121.56867221484588,53.86338623718173
1990-02-08,Hart Ranges,-121.70527634158553,54.29556697679035
1990-02-13,Hart Ranges,-121.52122696900395,53.85598537924853
1990-03-05,Hart Ranges,-121.50202723200725,53.856313911487625
1990-04-12,Hart Ranges,-121.49205196932542,53.89147940415252
1990-05-15,Hart Ranges,-121.44640979797462,53.894626527393314
1990-06-08,Hart Ranges,-121.41920105546302,53.87926563937951
1990-06-28,Hart Ranges,-121.45296650604996,54.39518633959553
1990-07-19,Hart Ranges,-121.43582941276645,53.99190714329176
1990-08-28,Hart Ranges,-121.51543482018023,53.86124666258842
1990-09-13,Hart Ranges,-121.46186034040679,53.90345157430479
1990-11-01,Hart Ranges,-121.64346070404021,53.90834347056704
1990-12-12,Hart Ranges,-121.5300129781756,53.85566933646796
1991-01-29,Hart Ranges,-121.61902497045965,53.95269135152338
