date,study_site,longitude,latitude
2003-12-12,Burnt Pine,-122.11263523009659,55.32633323783449
2003-12-13,Burnt Pine,-122.08982942015493,55.34828980442737
2003-12-14,Burnt Pine,-122.09293086864882,55.34921149160226
2003-12-15,Burnt Pine,-122.09920100943735,55.35158531460081
2003-12-15,Burnt Pine,-122.08454672466749,55.35100914657607
2003-12-16,Burnt Pine,-122.08765824549411,55.35218265868053
2003-12-17,Burnt Pine,-122.08100109016505,55.34747787718765
2003-12-18,Burnt Pine,-122.08722973128158,55.34475676988221
2003-12-19,Burnt Pine,-122.0861821306971,55.34505447592641
2003-12-20,Burnt Pine,-122.08776364436928,55.34416765969321
2003-12-20,Burnt Pine,-122.08611444284428,55.35073331687745
2003-12-21,Burnt Pine,-122.09168354975044,55.347207268922546
2003-12-22,Burnt Pine,-122.08618962242454,55.345413984440576
2003-12-23,Burnt Pine,-122.10837950541901,55.32633820194848
2003-12-24,Burnt Pine,-122.11629350744866,55.33051142664835
2003-12-25,Burnt Pine,-122.13342824303626,55.33339293668121
2003-12-25,Burnt Pine,-122.12143114278086,55.33127636509922
2003-12-26,Burnt Pine,-122.1199565812912,55.330951233491255
2003-12-27,Burnt Pine,-122.13175292314915,55.33286882593236
2003-12-28,Burnt Pine,-122.11192946868549,55.32758619453499
2003-12-29,Burnt Pine,-122.20235548668605,55.391149266878394
2003-12-30,Burnt Pine,-122.29441545999107,55.533459893590745
2003-12-30,Burnt Pine,-122.26341333851248,55.51031843271296
2003-12-31,Burnt Pine,-122.25375333488395,55.50366427948136
2004-01-01,Burnt Pine,-122.25581350373585,55.501879624983616
2004-01-02,Burnt Pine,-122.28169031638929,55.50402899984784
2004-01-03,Burnt Pine,-122.26889075903216,55.51295716680546
2004-01-04,Burnt Pine,-122.28194903135893,55.5028623462334
2004-01-04,Burnt Pine,-122.28541423358072,55.503844106723434
2004-01-05,Burnt Pine,-122.26054503925532,55.50536787138565
2004-01-06,Burnt Pine,-122.24324939579388,55.4718433808875
2004-01-07,Burnt Pine,-122.25155357411856,55.481913806846045
2004-01-08,Burnt Pine,-122.25171519481268,55.48173507504659
2004-01-09,Burnt Pine,-122.2539602510982,55.48434572228518
2004-01-09,Burnt Pine,-122.24976028476057,55.48468848589821
2004-01-10,Burnt Pine,-122.22605501633193,55.47581553889311
2004-01-11,Burnt Pine,-122.24171349540985,55.461203426777594
2004-01-12,Burnt Pine,-122.23901378452591,55.47820617223486
2004-01-13,Burnt Pine,-122.26169407361465,55.493037095659396
2004-01-14,Burnt Pine,-122.26441809181378,55.4971960123183
2004-01-14,Burnt Pine,-122.26421582613207,55.50379946675791
2004-01-15,Burnt Pine,-122.26627928978847,55.49670396400696
2004-01-16,Burnt Pine,-122.25177574515759,55.482714916943095
2004-01-17,Burnt Pine,-122.25125790537454,55.48165140571088
2004-01-18,Burnt Pine,-122.26149681211432,55.49512064805821
2004-01-19,Burnt Pine,-122.26722260216057,55.4970510779324
2004-01-19,Burnt Pine,-122.26252659986466,55.50523604356897
2004-01-20,Burnt Pine,-122.26694512629648,55.50943204119303
2004-01-21,Burnt Pine,-122.2702494123751,55.51484332592539
2004-01-22,Burnt Pine,-122.27280686791632,55.515280872824505
2004-01-23,Burnt Pine,-122.27513078861489,55.52411880919722
2004-01-24,Burnt Pine,-122.28197822387327,55.52561484718882
2004-01-24,Burnt Pine,-122.2879625881042,55.52931601600246
2004-01-25,Burnt Pine,-122.27888828711382,55.521337382046354
2004-01-26,Burnt Pine,-122.26676448717369,55.50892774788624
2004-01-27,Burnt Pine,-122.28435363172214,55.52652733496743
2004-01-28,Burnt Pine,-122.29384552199522,55.53431925429805
2004-01-29,Burnt Pine,-122.30387918370077,55.54036125358088
2004-01-29,Burnt Pine,-122.3013407821134,55.53873833795869
2004-01-30,Burnt Pine,-122.30240230339828,55.539642971901166
2004-01-31,Burnt Pine,-122.30155615353796,55.539997586423425
