date,study_site,longitude,latitude
2003-02-05,Kennedy,-122.83989175706536,55.11331657865595
2003-02-05,Kennedy,-122.83896537795215,55.11367480853237
2003-02-05,Kennedy,-122.83861791273846,55.114312373622454
2003-02-05,Kennedy,-122.8361197453745,55.11181984377121
2003-02-05,Kennedy,-122.82893470079443,55.11672545585804
2003-02-06,Kennedy,-122.82879359731844,55.1167252576956
2003-02-06,Kennedy,-122.82865307077499,55.11659026625064
2003-02-06,Kennedy,-122.828166740778,55.116661471543246
2003-02-06,Kennedy,-122.82800995939495,55.11666125036482
2003-02-06,Kennedy,-122.82772868097756,55.11644518275139
2003-02-06,Kennedy,-122.82331716022556,55.11779579192709
2003-02-07,Kennedy,-122.82297318522706,55.11757962244594
2003-02-07,Kennedy,-122.82439492197364,55.118722934598296
2003-02-07,Kennedy,-122.82425381149064,55.118722731174266
2003-02-07,Kennedy,-122.82425412711001,55.11865084155156
2003-02-07,Kennedy,-122.82439523733959,55.118651044975024
2003-02-07,Kennedy,-122.82566679489136,55.118293420280104
2003-02-08,Kennedy,-122.82594995055963,55.118078154784854
2003-02-08,Kennedy,-122.82354418623557,55.11608873101129
2003-02-08,Kennedy,-122.82225660482356,55.10947296587256
2003-02-08,Kennedy,-122.83832287277014,55.10584691593489
2003-02-08,Kennedy,-122.82324883804958,55.111963606506784
2003-02-08,Kennedy,-122.82290459549586,55.111819326359885
2003-02-09,Kennedy,-122.82318613287069,55.111963515533844
2003-02-09,Kennedy,-122.82368682463421,55.112179911511156
2003-02-09,Kennedy,-122.82324883804958,55.111963606506784
2003-02-09,Kennedy,-122.82232517283316,55.111683688808725
2003-02-09,Kennedy,-122.8227631911392,55.11189101092525
2003-02-09,Kennedy,-122.82403202093731,55.11210852034767
2003-02-10,Kennedy,-122.82367209801663,55.111964219730154
2003-02-10,Kennedy,-122.8245330341351,55.112253023148696
2003-02-10,Kennedy,-122.82431356440891,55.1122527069141
2003-02-10,Kennedy,-122.8245330341351,55.112253023148696
2003-02-10,Kennedy,-122.82567557323259,55.11267701768156
2003-02-10,Kennedy,-122.82297383874996,55.11388626875519
2003-02-11,Kennedy,-122.82253888800652,55.116518611797574
2003-02-11,Kennedy,-122.82581728790214,55.11253344004275
2003-02-11,Kennedy,-122.82531595291272,55.11246083222429
2003-02-11,Kennedy,-122.82389061757387,55.11218020621862
2003-02-11,Kennedy,-122.8241806557654,55.11395990613834
2003-02-11,Kennedy,-122.8192029203292,55.119218572810624
2003-02-12,Kennedy,-122.79929664761328,55.136710602146756
2003-02-12,Kennedy,-122.7987964593047,55.136359314241574
2003-02-12,Kennedy,-122.79893623165285,55.136638118256606
2003-02-12,Kennedy,-122.79857581700085,55.13656563330093
2003-02-12,Kennedy,-122.79893731562908,55.136422450337626
2003-02-12,Kennedy,-122.79857721964008,55.13628706224029
2003-02-13,Kennedy,-122.799219661042,55.136422915751325
2003-02-13,Kennedy,-122.79950304234251,55.13621669874099
2003-02-13,Kennedy,-122.8033388503512,55.13130747406435
2003-02-13,Kennedy,-122.80498118768988,55.13222670983318
2003-02-13,Kennedy,-122.80398017147566,55.13165897070221
2003-02-14,Kennedy,-122.85639060376178,55.12455198579408
2003-02-14,Kennedy,-122.82581697516108,55.11260532974412
2003-02-14,Kennedy,-122.82396899947477,55.1121803194769
2003-02-14,Kennedy,-122.82431419528,55.112108927513674
2003-02-14,Kennedy,-122.82425533328457,55.11480472288017
2003-02-14,Kennedy,-122.82374984660179,55.11210811252822
2003-02-15,Kennedy,-122.82417342379452,55.1120368343114
2003-02-15,Kennedy,-122.6422119394555,55.18271975091161
2003-02-15,Kennedy,-122.64107258683195,55.18193460275462
2003-02-15,Kennedy,-122.64156068628668,55.18179225883721
2003-02-15,Kennedy,-122.51939387338574,55.20447566045188
2003-02-16,Kennedy,-122.40170783127459,55.1853536170826
2003-02-16,Kennedy,-122.39608473145852,55.194734572877636
2003-02-16,Kennedy,-122.40191405980518,55.19360406138032
2003-02-16,Kennedy,-122.39801586568012,55.194807022747405
2003-02-16,Kennedy,-122.39814545034365,55.19558947064868
2003-02-16,Kennedy,-122.39821465103417,55.195167455793076
2003-02-17,Kennedy,-122.39800515958059,55.19551688793924
2003-02-17,Kennedy,-122.40071649048257,55.1959436086271
2003-02-17,Kennedy,-122.402347077687,55.19615829360813
2003-02-17,Kennedy,-122.40028515894473,55.19537535172577
2003-02-17,Kennedy,-122.40269820362568,55.19474017789646
2003-02-17,Kennedy,-122.4034821194822,55.1969456575383
2003-02-18,Kennedy,-122.40548040850395,55.197791138787956
2003-02-18,Kennedy,-122.40646688213027,55.198011613723814
2003-02-18,Kennedy,-122.40704612397305,55.1981492251633
2003-02-18,Kennedy,-122.40348856567222,55.19651434672223
2003-02-18,Kennedy,-122.40547505437344,55.19815056452443
2003-02-18,Kennedy,-122.40810015243412,55.204408801591384
2003-02-19,Kennedy,-122.39723013048412,55.201066593967745
2003-02-19,Kennedy,-122.39524022778649,55.19552118373554
2003-02-19,Kennedy,-122.39324732410117,55.19537649231451
2003-02-19,Kennedy,-122.39267635896402,55.19573310314315
2003-02-19,Kennedy,-122.39395105652822,55.195586675836175
2003-02-19,Kennedy,-122.393244045833,55.19559214736187
2003-02-20,Kennedy,-122.39474505656985,55.19502448091678
2003-02-20,Kennedy,-122.39402684954356,55.19473335327211
2003-02-20,Kennedy,-122.39275436675636,55.19473601142355
2003-02-20,Kennedy,-122.3904027633326,55.19545217277995
2003-02-20,Kennedy,-122.39551801930223,55.19481264253057
2003-02-20,Kennedy,-122.3958783516774,55.19487733181335
2003-02-21,Kennedy,-122.39844282519344,55.19566282797104
2003-02-21,Kennedy,-122.39850565862606,55.195663137823956
2003-02-21,Kennedy,-122.40063794810831,55.19594322272808
2003-02-21,Kennedy,-122.40071649048257,55.1959436086271
2003-02-21,Kennedy,-122.40312726541744,55.19651257936623
2003-02-21,Kennedy,-122.40255266219265,55.19501804048847
2003-02-22,Kennedy,-122.402709743357,55.19501880976179
2003-02-22,Kennedy,-122.40938068444392,55.19751353774024
