date,study_site,longitude,latitude
2006-12-20,Narraway,-120.59547409410284,55.030718894333226
2006-12-20,Narraway,-120.60698745694445,55.025282804815475
2006-12-20,Narraway,-120.46224379695416,55.1015543665667
2006-12-21,Narraway,-120.63522430023998,55.01609091301232
2006-12-21,Narraway,-120.63414613332209,55.01606994642346
2006-12-21,Narraway,-120.63456590920723,55.01611406681676
2006-12-21,Narraway,-120.63428488949637,55.015838930761134
2006-12-21,Narraway,-120.63539301013272,55.01614812707022
2006-12-21,Narraway,-120.470371637307,55.08159644753221
2006-12-21,Narraway,-120.46774005251514,55.09868435271299
2006-12-21,Narraway,-120.46874259574392,55.0986962107998
2006-12-21,Narraway,-120.6343076782588,55.015983198319425
2006-12-22,Narraway,-120.63619120379472,55.01587599336207
2006-12-22,Narraway,-120.6341252183636,55.0161594298085
2006-12-22,Narraway,-120.47728852924897,55.064570409189905
2006-12-22,Narraway,-120.47806739748587,55.06364267336542
2006-12-22,Narraway,-120.63621241402672,55.01604719686429
2006-12-22,Narraway,-120.63420334652685,55.016160949462424
2006-12-23,Narraway,-120.63573172023482,55.0159749310144
2006-12-23,Narraway,-120.63568325774357,55.016000956045254
2006-12-23,Narraway,-120.48512264009872,55.02882019920462
2006-12-23,Narraway,-120.48931697818001,55.05858058214533
2006-12-23,Narraway,-120.63891987218555,55.01602787121556
2006-12-23,Narraway,-120.47396441001638,55.035043364905384
2006-12-23,Narraway,-120.63880626963528,55.01609757802653
2006-12-23,Narraway,-120.63591394184864,55.01606836305235
2006-12-23,Narraway,-120.63627250223593,55.015823639207575
2006-12-24,Narraway,-120.48400463766396,55.00870585806064
2006-12-24,Narraway,-120.48453844171816,55.00892365622854
2006-12-24,Narraway,-120.46286832505581,54.975841809980615
2006-12-24,Narraway,-120.63760731990216,55.01600238528574
2006-12-24,Narraway,-120.6371705531763,55.015715241977006
2006-12-24,Narraway,-120.6374224535902,55.01595384951662
2006-12-24,Narraway,-120.63661445299608,55.016126921523295
2006-12-24,Narraway,-120.63779460939087,55.016275693131206
2006-12-24,Narraway,-120.63640724507074,55.015394784899556
2006-12-25,Narraway,-120.46458205794858,55.01037902887815
2006-12-25,Narraway,-120.45507457408544,55.020455364469825
2006-12-25,Narraway,-120.6367236755883,55.01506833995
2006-12-25,Narraway,-120.63722284833105,55.01482634542928
2006-12-25,Narraway,-120.63737746901435,55.01618669006811
2006-12-25,Narraway,-120.6370830561155,55.01507532217779
2006-12-26,Narraway,-120.63672737393034,55.01500548869786
2006-12-26,Narraway,-120.44982986634257,55.01804421433403
2006-12-26,Narraway,-120.44798584892507,55.02145748261944
2006-12-26,Narraway,-120.45505933001616,55.02242372994867
2006-12-26,Narraway,-120.6369569976081,55.01509085120061
2006-12-26,Narraway,-120.637536626954,55.01454479200572
2006-12-26,Narraway,-120.63678369341864,55.01617515492399
2006-12-26,Narraway,-120.63675485897447,55.01639932004552
2006-12-26,Narraway,-120.63738041761805,55.01640248365064
2006-12-27,Narraway,-120.67335557930453,54.97435344379509
2006-12-27,Narraway,-120.66701523486981,54.967004774334534
2006-12-27,Narraway,-120.66895310052742,54.97212073704668
2006-12-27,Narraway,-120.6675214319226,54.966627961112366
2006-12-27,Narraway,-120.44455549613072,55.02176301551525
2006-12-27,Narraway,-120.44617619984972,55.01940586248474
2006-12-27,Narraway,-120.67321197441588,54.97440462925063
2006-12-27,Narraway,-120.6690186579507,54.97206806012112
2006-12-27,Narraway,-120.45019308678177,55.01725176928089
2006-12-28,Narraway,-120.4474833990093,55.02000862787504
2006-12-28,Narraway,-120.66765259334623,54.9643652474899
2006-12-28,Narraway,-120.60692131541346,55.014054146892796
2006-12-28,Narraway,-120.44772233849424,55.01994172657774
2006-12-28,Narraway,-120.66750121868328,54.96428144173897
2006-12-28,Narraway,-120.66565206018468,54.962493085727594
2006-12-29,Narraway,-120.58082415053829,55.04010073586726
2006-12-29,Narraway,-120.5795461783426,55.04104614250789
2006-12-29,Narraway,-120.45355118536474,55.0252328240079
2006-12-29,Narraway,-120.4537845083757,55.0181001014411
2006-12-29,Narraway,-120.66378651544092,54.95991335044911
2006-12-29,Narraway,-120.66041185426405,54.95992035208347
2006-12-29,Narraway,-120.65663755385441,54.955254242350456
2006-12-29,Narraway,-120.45308492316649,55.009149949391066
2006-12-30,Narraway,-120.56904685764354,55.05053608728285
2006-12-30,Narraway,-120.56892338409855,55.05050665309674
2006-12-30,Narraway,-120.56820348026731,55.050501257151566
2006-12-30,Narraway,-120.66274074724188,54.943488252733886
2006-12-30,Narraway,-120.4659186318237,54.97158150733059
2006-12-30,Narraway,-120.51752971879655,54.92985712668706
2006-12-30,Narraway,-120.5183948754252,54.83922525967142
2006-12-30,Narraway,-120.66129022118463,54.94910546695375
2006-12-30,Narraway,-120.66206008238692,54.947412361593074
2006-12-31,Narraway,-120.56711137150634,55.05069516566026
2006-12-31,Narraway,-120.56537698946494,55.050894193787784
2006-12-31,Narraway,-120.66341354634157,54.934314380466844
2006-12-31,Narraway,-120.50363784593374,54.80881657986209
2006-12-31,Narraway,-120.49350094188976,54.803618319492685
2006-12-31,Narraway,-120.66669296868244,54.935914527295296
2007-01-01,Narraway,-120.67454258883896,54.94029883980582
2007-01-01,Narraway,-120.67808311952773,54.94280256668805
2007-01-01,Narraway,-120.66687278160583,54.93766185510616
2007-01-01,Narraway,-120.54142726999928,54.77446637636626
2007-01-01,Narraway,-120.53313961553582,54.781606545848206
2007-01-01,Narraway,-120.52519321171171,54.79380525745726
2007-01-01,Narraway,-120.56361804794209,55.05149721674478
2007-01-01,Narraway,-120.56561156499212,55.050898886960624
2007-01-01,Narraway,-120.56646382359892,55.05052940174924
2007-01-02,Narraway,-120.67579913085932,54.94017006634606
2007-01-02,Narraway,-120.67509840862965,54.943653391553966
2007-01-02,Narraway,-120.5442897846,54.772906269922885
2007-01-02,Narraway,-120.5468974828899,54.77401082832223
2007-01-02,Narraway,-120.67566030297505,54.942846139414044
2007-01-02,Narraway,-120.53798950136822,54.77294930804654
2007-01-02,Narraway,-120.5641686701532,55.05145430544905
2007-01-02,Narraway,-120.564066113847,55.05159607860878
2007-01-02,Narraway,-120.56574707745621,55.05150386977561
2007-01-03,Narraway,-120.41140276283757,54.76651905804272
2007-01-03,Narraway,-120.38471172007436,54.771987415739076
2007-01-03,Narraway,-120.56504350930841,55.05122910810742
2007-01-03,Narraway,-120.67637419837828,54.945628409263726
2007-01-03,Narraway,-120.67577326698351,54.94359438864546
2007-01-03,Narraway,-120.56407156691178,55.0515062964223
2007-01-04,Narraway,-120.6737180090213,54.943761809797536
2007-01-04,Narraway,-120.67064105656624,54.943774781088784
2007-01-04,Narraway,-120.67578875297777,54.94576103803894
2007-01-04,Narraway,-120.56415139572451,55.05148092705547
2007-01-04,Narraway,-120.56395245684848,55.051405031454365
2007-01-04,Narraway,-120.43656895417773,54.77619638490445
2007-01-04,Narraway,-120.43604207847004,54.792384783614025
2007-01-04,Narraway,-120.5642965049938,55.05141191868759
2007-01-04,Narraway,-120.43940180322416,54.79682477833319
2007-01-05,Narraway,-120.43979720666479,54.79819956478465
2007-01-05,Narraway,-120.66678270286808,54.942181614076965
2007-01-05,Narraway,-120.66735565779716,54.94145551250075
2007-01-05,Narraway,-120.5665237866595,55.052121676885186
2007-01-05,Narraway,-120.56623286370365,55.05252935850816
2007-01-05,Narraway,-120.56479819968958,55.05114329683669
2007-01-05,Narraway,-120.66796913456957,54.9429954235717
2007-01-05,Narraway,-120.43800196041614,54.795833313929556
2007-01-05,Narraway,-120.44432676593996,54.79669492491749
2007-01-06,Narraway,-120.56521163170126,55.05310221160641
2007-01-06,Narraway,-120.56543112591076,55.053097614103386
2007-01-06,Narraway,-120.45097960056052,54.79679897262906
2007-01-06,Narraway,-120.44845747761093,54.79386024064122
2007-01-06,Narraway,-120.6744518627453,54.93862514455261
2007-01-06,Narraway,-120.66166344823442,54.93703136536439
2007-01-07,Narraway,-120.56609691182072,55.05347948693782
2007-01-07,Narraway,-120.56873724748637,55.049702901920995
2007-01-07,Narraway,-120.66513157321207,54.940765587516545
2007-01-07,Narraway,-120.66227245100158,54.942409548052304
2007-01-07,Narraway,-120.5650515928272,55.05290124842792
2007-01-07,Narraway,-120.66018113799727,54.946153689108705
2007-01-07,Narraway,-120.44162574102292,54.792655528201216
2007-01-07,Narraway,-120.44141272797287,54.793810709808724
2007-01-07,Narraway,-120.44121597529137,54.7932312159211
2007-01-08,Narraway,-120.66707507604069,54.95330666070218
2007-01-08,Narraway,-120.67039727559911,54.95527605758677
2007-01-08,Narraway,-120.43663022177549,54.79390749337522
2007-01-08,Narraway,-120.44522153110873,54.79311788785487
2007-01-08,Narraway,-120.44348658919613,54.79373757773957
2007-01-08,Narraway,-120.65774268713793,54.97061982630894
2007-01-08,Narraway,-120.56351348674812,55.05141422090991
2007-01-08,Narraway,-120.5635194864372,55.05131546054227
2007-01-08,Narraway,-120.5627151980274,55.050894842192676
2007-01-09,Narraway,-120.56329836544757,55.051346989333155
2007-01-09,Narraway,-120.56020784217048,55.05273231423097
2007-01-09,Narraway,-120.65210944621504,54.97236289595515
2007-01-09,Narraway,-120.65061812635523,54.973817274694404
2007-01-09,Narraway,-120.4373968245282,54.79974005402297
2007-01-09,Narraway,-120.43336554988072,54.797793934907894
2007-01-10,Narraway,-120.55694773279795,55.05098593369763
2007-01-10,Narraway,-120.55580832599556,55.0509270954253
2007-01-10,Narraway,-120.55274771256269,55.05464102600581
2007-01-10,Narraway,-120.62560011308823,55.00027146096915
2007-01-10,Narraway,-120.44315100386406,54.802747194141475
2007-01-10,Narraway,-120.62866522135195,55.01696099630111
2007-01-10,Narraway,-120.4458297194113,54.80271373534873
2007-01-10,Narraway,-120.44479235256917,54.80312339209336
2007-01-10,Narraway,-120.63632155520705,55.01817971421709
2007-01-11,Narraway,-120.45632636447228,54.80208928947343
2007-01-11,Narraway,-120.4482604806493,54.80118271008653
2007-01-11,Narraway,-120.44573534045372,54.80272972728855
2007-01-11,Narraway,-120.6329838257876,55.01747658736927
2007-01-11,Narraway,-120.5574599695743,55.05105914104789
2007-01-11,Narraway,-120.55590780791591,55.051863965660154
2007-01-11,Narraway,-120.63812097168741,55.01524829457146
2007-01-11,Narraway,-120.61127996976148,55.02940325876288
2007-01-11,Narraway,-120.55726706073469,55.050884474732
